country_name,country_code,region,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4
China,CN,,0,31893,121671,220051,364114,613468,558891,471561,512830,471621,492225.5
United States of America,US,SPP,0,602,16769,99418,197196,301892,272825,275852,305980,282743,294361.5
Hong Kong,HK,,0,9489,22174,48978,87316,143368,147687,167833,179122,142245,160683.5
Germany,DE,,0,18913,50060,78578,102245,129499,90176,108946,108253,97775,103014
Singapore,SG,,0,16050,50928,44761,63794,87373,70908,80553,93956,76830,85393
VietNam,VN,,0,7376,9446,14810,25329,57934,78069,86413,108229,81427,94828
"Korea, Republic of",KR,,0,1880,13750,22539,37555,59967,67694,57472,60817,60844,60830.5
United States of America,US,SERC,0,1972,7051,8956,15279,26132,17552,13774,13982,14496,14239
United States of America,US,WECC,0,2159,3629,4642,9610,18675,17629,14981,17333,15676,16504.5
Australia,AU,,0,274,8661,6579,3747,9936,7238,8487,8547,7587,8067
United States of America,US,FRCC,0,0,3,376,2099,4469,6400,15085,20231,11802,16016.5
United States of America,US,RFC,0,97,1812,1722,1700,4190,7360,10785,15814,9832,12823
Japan,JP,,0,1090,3113,6083,6863,7597,5358,5541,6799,5839,6319
Canada,CA,,0,189,2340,1021,896,3584,12532,8125,11266,7333,9299.5
United Arab Emirates,AE,,0,0,0,0,1545,1771,5866,5775,8091,4603,6347
Netherlands,NL,,0,106,364,1052,1440,1899,2701,2282,2554,2901,2727.5
United States of America,US,MRO,0,1,15,82,381,1497,1629,1768,3466,4907,4186.5
Sri Lanka,LK,,0,0,0,0,336,3053,2204,1279,2984,1836,2410
Belgium,BE,,0,355,980,1426,1426,1440,1583,1628,1363,1373,1368
Ukraine,UA,,0,1310,1228,1762,957,1042,1063,1060,1029,1073,1051
Russian Federation,RU,,0,27,456,895,1429,1289,1096,1204,1254,1322,1288
Norway,NO,,0,3,25,42,368,1472,1401,1257,1454,1086,1270
Ghana,GH,,0,105,1855,473,478,483,483,473,478,496,487
Ireland,IE,,0,0,298,1518,597,515,515,504,509,528,518.5
Spain,ES,,0,0,1105,560,375,369,377,444,737,520,628.5
Indonesia,ID,,0,0,12,275,389,764,590,519,595,683,639
India,IN,,0,461,438,211,717,387,372,366,369,382,375.5
Thailand,TH,,0,0,0,449,1088,381,381,373,377,391,384
Slovakia,SK,,0,0,1063,259,262,265,265,259,262,271,266.5
Italy,IT,,0,189,225,375,286,519,295,289,291,303,297
Romania,RO,,0,1,6,41,554,153,155,203,509,503,506
United States of America,US,NPCC,0,9,361,233,162,204,187,258,414,275,344.5
Iceland,IS,,0,0,136,133,93,97,758,282,261,271,266
Brazil,BR,,0,128,153,553,197,199,199,195,197,204,200.5
New Zealand,NZ,,0,68,24,400,388,197,197,193,195,202,198.5
Mexico,MX,,0,0,254,254,118,120,149,125,300,263,281.5
Malaysia,MY,,0,0,0,4,36,106,128,369,416,434,425
United Kingdom of Great Britain and Northern Ireland,GB,,0,10,33,64,70,52,139,268,491,297,394
North Macedonia,MK,,0,0,132,321,150,124,124,122,123,128,125.5
United States of America,US,TRE,0,0,23,39,18,25,29,343,316,307,311.5
Denmark,DK,,0,265,94,94,95,96,101,96,98,104,101
Greece,GR,,0,0,0,0,78,23,42,91,268,497,382.5
United States of America,US,,0,3,24,41,54,61,178,102,265,212,238.5
Philippines,PH,,0,36,11,11,281,111,89,87,88,91,89.5
France,FR,,0,2,10,54,98,50,89,162,175,130,152.5
Latvia,LV,,0,15,33,51,38,81,69,70,134,161,147.5
Taiwan,TW,,0,1,2,5,10,27,41,97,183,286,234.5
Finland,FI,,0,12,6,22,111,39,51,59,76,87,81.5
Poland,PL,,0,2,5,3,6,13,69,109,138,108,123
Austria,AT,,0,1,1,35,87,34,46,54,41,43,42
Bulgaria,BG,,0,1,3,5,7,20,42,66,66,75,70.5
Slovenia,SI,,0,0,0,4,19,8,24,36,31,48,39.5
Iran (Islamic Republic of),IR,,0,0,4,15,5,15,20,34,36,24,30
Israel,IL,,0,0,0,33,35,16,16,16,16,17,16.5
Argentina,AR,,0,0,0,0,34,9,9,9,9,10,9.5
Belarus,BY,,0,0,0,0,3,7,9,9,6,6,6
Switzerland,CH,,0,3,4,3,3,4,4,4,3,3,3
Czechia,CZ,,0,0,0,0,4,3,7,6,5,5,5
Serbia,RS,,0,5,2,2,2,2,3,3,4,3,3.5
Sweden,SE,,0,4,4,2,2,3,3,2,3,3,3
Nigeria,NG,,0,0,0,0,1,1,10,4,4,4,4
Portugal,PT,,0,0,0,0,0,1,1,2,2,2,2
