Missing 4053 needed for 20211115_3D_PL_transaction_1_allocation_27 (CN, null, 2021-02-01 - 2021-02-28)
Missing 181 needed for 20211115_3D_PL_transaction_1_allocation_30 (CN, null, 2021-03-01 - 2021-03-31)
Missing 2968 needed for 20211115_3D_PL_transaction_1_allocation_36 (CN, null, 2021-02-01 - 2021-02-28)
Missing 240 needed for 20211115_3D_PL_transaction_1_allocation_40 (CN, null, 2021-02-01 - 2021-02-28)

Remained:
CN_IREC_82583MWh_Jan2021_to_August2021_certificate_10: 5973 (CN, null, 2021-01-01 - 2021-03-31)
CN_IREC_82583MWh_Jan2021_to_August2021_certificate_11: 1469 (CN, null, 2021-01-01 - 2021-01-31)
US_GreenE_563MWh_Jan_to_August_2021_certificate_6: 5 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_563MWh_Jan_to_August_2021_certificate_7: 1 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_1: 1 (US, RFC, 2021-03-01 - 2021-03-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_3: 1 (US, RFC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_4: 1 (US, RFC, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_5: 2 (US, RFC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_6: 1 (US, RFC, 2021-08-01 - 2021-08-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_8: 2 (US, NPCC, 2021-04-01 - 2021-04-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_9: 9 (US, NPCC, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_10: 10 (US, NPCC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_11: 5 (US, NPCC, 2020-11-01 - 2020-11-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_12: 162 (US, WECC, 2021-08-01 - 2021-08-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_13: 25 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_14: 28 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_15: 20 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_16: 13 (US, WECC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_17: 35 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_18: 18 (US, WECC, 2021-02-01 - 2021-02-28)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_19: 23 (US, WECC, 2021-03-01 - 2021-03-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_20: 24 (US, WECC, 2021-06-01 - 2021-06-30)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_21: 23 (US, WECC, 2021-07-01 - 2021-07-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_22: 9 (US, WECC, 2021-05-01 - 2021-05-31)
US_GreenE_640MWh_Oct2020_to_August2021_certificate_23: 9 (US, WECC, 2021-06-01 - 2021-06-30)
